[UTC+07:00]曼谷,河内,雅加达|[UTC+08:00]北京,乌鲁木齐,台北,新加坡|[UTC+09:00]大阪,札幌,汉城,东京|[UTC+09:30]阿德莱德,达尔文|[UTC+10:00]堪培拉,墨尔本,悉尼	[UTC+07:00]Bangkok,Hanoi,Jakarta|[UTC+08:00]Beijing,Urumqi,Taipei,Singapore|[UTC+09:00]Osaka,Sapporo,Seoul,Tokyo|[UTC+09:30]Adelaide,Darwin|[UTC+10:00]Canberra,Melbourne,Sydney
[UTC+07:00]曼谷,河內,雅加達|[UTC+08:00]北京,烏魯木齊,臺北,新加坡|[UTC+09:00]大阪,札幌,漢城,東京|[UTC+09:30]阿德萊德,達爾文|[UTC+10:00]坎培拉,墨爾本,悉尼	[UTC+07:00]Bangkok,Hanoi,Jakarta|[UTC+08:00]Beijing,Urumqi,Taipei,Singapore|[UTC+09:00]Osaka,Sapporo,Seoul,Tokyo|[UTC+09:30]Adelaide,Darwin|[UTC+10:00]Canberra,Melbourne,Sydney
[UTC-07:00]山区时间(美国和加拿大)|[UTC-06:00]中部时间(美国和加拿大)|[UTC-05:00]东部时间(美国和加拿大)|[UTC-04:00]大西洋时间(加拿大)|[UTC-03:30]纽芬兰	[UTC-07:00]mountain Time(U.S. and Canada)|[UTC-06:00]central Time(U.S. and Canada)|[UTC-05:00]Eastern Time(U.S. and Canada)|[UTC-04:00]Atlantic Time(Canada)|[UTC-03:30]Newfoundland
[UTC-07:00]山區時間(美國和加拿大)|[UTC-06:00]中部時間(美國和加拿大)|[UTC-05:00]東部時間(美國和加拿大)|[UTC-04:00]大西洋時間(加拿大)|[UTC-03:30]紐芬蘭	[UTC-07:00]mountain Time(U.S. and Canada)|[UTC-06:00]central Time(U.S. and Canada)|[UTC-05:00]Eastern Time(U.S. and Canada)|[UTC-04:00]Atlantic Time(Canada)|[UTC-03:30]Newfoundland
[UTC-03:00]巴西利亚,乔治敦|[UTC-02:00]中大西洋|[UTC-01:00]亚速群岛,佛得角群岛|[UTC+00:00]都柏林,伦敦,爱丁堡|[UTC+01:00]柏林,阿姆斯特丹,巴黎,罗马	[UTC-03:00]Brasilia,Georgetown|[UTC-02:00]mid-Atlantic|[UTC-01:00]Azores,Cape Verde Islands|[UTC+00:00]Dublin,London,Edinburgh|[UTC+01:00]Berlin,Amsterdam,Paris,Rome
[UTC-03:00]巴西利亞,喬治城|[UTC-02:00]中大西洋|[UTC-01:00]亞速群島,佛德角群島|[UTC+00:00]都柏林,倫敦,愛丁堡|[UTC+01:00]柏林,阿姆斯特丹,巴黎,羅馬	[UTC-03:00]Brasilia,Georgetown|[UTC-02:00]mid-Atlantic|[UTC-01:00]Azores,Cape Verde Islands|[UTC+00:00]Dublin,London,Edinburgh|[UTC+01:00]Berlin,Amsterdam,Paris,Rome
[UTC+02:00]雅典,耶路撒冷,伊斯坦布尔|[UTC+03:00]巴格达,科威特,莫斯科|[UTC+03:30]德黑兰|[UTC+04:00]阿布扎比,巴库,马斯喀特|[UTC+04:30]坎布尔	[UTC+02:00]Athens,Jerusalem,Istanbul|[UTC+03:00]Baghdad,Kuwait,Moscow|[UTC+03:30]Tehran|[UTC+04:00]Abu Dhabi,Baku,Muscat|[UTC+04:30]Kabul
[UTC+02:00]雅典,耶路撒冷,伊斯坦布爾|[UTC+03:00]巴格達,科威特,莫斯科|[UTC+03:30]德黑蘭|[UTC+04:00]阿布達比,巴庫,馬斯喀特|[UTC+04:30]坎布林	[UTC+02:00]Athens,Jerusalem,Istanbul|[UTC+03:00]Baghdad,Kuwait,Moscow|[UTC+03:30]Tehran|[UTC+04:00]Abu Dhabi,Baku,Muscat|[UTC+04:30]Kabul
[UTC+05:00]伊斯蘭馬巴德,卡拉奇,塔什干|[UTC+05:30]孟買,馬德拉斯,新德里|[UTC+05:45]加德滿都|[UTC+06:00]阿拉木圖,可倫坡,達卡|[UTC+06:30]仰光	[UTC+05:00]Islamabad,Karachi,Tashkent|[UTC+05:30]Bombay,Madras,New Delhi|[UTC+05:45]Kathmandu|[UTC+06:00]Almaty,Colombo,Dhaka|[UTC+06:30]Yangon
[UTC+05:00]伊斯兰堡,卡拉奇,塔什干|[UTC+05:30]孟买,马德拉斯,新德里|[UTC+05:45]加德满都|[UTC+06:00]阿拉木图,科伦坡,达卡|[UTC+06:30]仰光	[UTC+05:00]Islamabad,Karachi,Tashkent|[UTC+05:30]Bombay,Madras,New Delhi|[UTC+05:45]Kathmandu|[UTC+06:00]Almaty,Colombo,Dhaka|[UTC+06:30]Yangon
